# of elements,operation,duration (ns)
15310,Find,621
15310,Delete,1135
15310,Memory,434512
15410,Insert,964
15410,Find,559
15410,Delete,1101
15410,Memory,445144
15510,Insert,775
15510,Find,503
15510,Delete,884
15510,Memory,443984
15610,Insert,666
15610,Find,438
15610,Delete,855
15610,Memory,448272
15710,Insert,1077
15710,Find,451
15710,Delete,891
15710,Memory,450192
15810,Insert,642
15810,Find,452
15810,Delete,785
15810,Memory,450416
15910,Insert,796
15910,Find,481
15910,Delete,747
15910,Memory,451120
16010,Insert,877
16010,Find,380
16010,Delete,726
16010,Memory,456752
16110,Insert,772
16110,Find,300
16110,Delete,812
16110,Memory,456976
16210,Insert,878
16210,Find,572
16210,Delete,961
16210,Memory,462360
16310,Insert,934
16310,Find,495
16310,Delete,852
16310,Memory,460208
16410,Insert,712
16410,Find,486
16410,Delete,710
16410,Memory,470992
16510,Insert,1007
16510,Find,511
16510,Delete,811
16510,Memory,473328
16610,Insert,706
16610,Find,535
16610,Delete,843
16610,Memory,475152
16710,Insert,828
16710,Find,463
16710,Delete,812
16710,Memory,478640
16810,Insert,726
16810,Find,403
16810,Delete,745
16810,Memory,479984
16910,Insert,695
16910,Find,375
16910,Delete,756
16910,Memory,480176
17010,Insert,720
17010,Find,474
17010,Delete,1261
17010,Memory,485064
17110,Insert,716
17110,Find,415
17110,Delete,745
17110,Memory,485584
17210,Insert,948
17210,Find,384
17210,Delete,766
17210,Memory,487568
17310,Insert,924
17310,Find,475
17310,Delete,916
17310,Memory,488624
17410,Insert,719
17410,Find,411
17410,Delete,782
17410,Memory,499952
17510,Insert,874
17510,Find,403
17510,Delete,722
17510,Memory,502960
17610,Insert,906
17610,Find,580
17610,Delete,1086
17610,Memory,503504
17710,Insert,1016
17710,Find,473
17710,Delete,1559
17710,Memory,507752
17810,Insert,869
17810,Find,536
17810,Delete,1147
17810,Memory,506768
17910,Insert,907
17910,Find,568
17910,Delete,986
17910,Memory,509528
18010,Insert,1073
18010,Find,585
18010,Delete,968
18010,Memory,511408
18110,Insert,1276
18110,Find,575
18110,Delete,964
18110,Memory,514608
18210,Insert,859
18210,Find,390
18210,Delete,1226
18210,Memory,519056
18310,Insert,849
18310,Find,568
18310,Delete,861
18310,Memory,517072
18410,Insert,1161
18410,Find,720
18410,Delete,1297
18410,Memory,522616
18510,Insert,622
18510,Find,335
18510,Delete,582
18510,Memory,529808
18610,Insert,701
18610,Find,438
18610,Delete,926
18610,Memory,533360
18710,Insert,714
18710,Find,341
18710,Delete,773
18710,Memory,534704
18810,Insert,599
18810,Find,358
18810,Delete,867
18810,Memory,534224
18910,Insert,620
18910,Find,348
18910,Delete,708
18910,Memory,540272
19010,Insert,686
19010,Find,343
19010,Delete,838
19010,Memory,540976
19110,Insert,664
19110,Find,447
19110,Delete,739
19110,Memory,544136
19210,Insert,528
19210,Find,320
19210,Delete,685
19210,Memory,543792
19310,Insert,621
19310,Find,395
19310,Delete,677
19310,Memory,546320
19410,Insert,727
19410,Find,314
19410,Delete,567
19410,Memory,548496
19510,Insert,765
19510,Find,342
19510,Delete,770
19510,Memory,559728
19610,Insert,590
19610,Find,446
19610,Delete,651
19610,Memory,558400
19710,Insert,715
19710,Find,379
19710,Delete,782
19710,Memory,564112
19810,Insert,571
19810,Find,357
19810,Delete,688
19810,Memory,567640
19910,Insert,683
19910,Find,403
19910,Delete,653
19910,Memory,566768
20010,Insert,604
20010,Find,384
20010,Delete,573
20010,Memory,569936
20110,Insert,605
20110,Find,343
20110,Delete,709
20110,Memory,570960
20210,Insert,733
20210,Find,381
20210,Delete,606
20210,Memory,573008
20310,Insert,606
20310,Find,274
20310,Delete,578
20310,Memory,576112
20410,Insert,763
20410,Find,915
20410,Delete,823
20410,Memory,581416
20510,Insert,788
20510,Find,462
20510,Delete,827
20510,Memory,588464
20610,Insert,650
20610,Find,403
20610,Delete,617
20610,Memory,588560
20710,Insert,613
20710,Find,1421
20710,Delete,756
20710,Memory,592464
20810,Insert,603
20810,Find,423
20810,Delete,794
20810,Memory,592624
20910,Insert,722
20910,Find,419
20910,Delete,660
20910,Memory,593488
21010,Insert,693
21010,Find,489
21010,Delete,671
21010,Memory,602216
21110,Insert,595
21110,Find,321
21110,Delete,592
21110,Memory,598128
21210,Insert,611
21210,Find,347
21210,Delete,645
21210,Memory,602352
21310,Insert,679
21310,Find,332
21310,Delete,790
21310,Memory,604432
21410,Insert,587
21410,Find,349
21410,Delete,664
21410,Memory,605648
21510,Insert,600
21510,Find,383
21510,Delete,569
21510,Memory,614768
21610,Insert,635
21610,Find,435
21610,Delete,632
21610,Memory,620408
21710,Insert,618
21710,Find,358
21710,Delete,637
21710,Memory,622128
21810,Insert,782
21810,Find,376
21810,Delete,770
21810,Memory,620368
21910,Insert,782
21910,Find,496
21910,Delete,839
21910,Memory,623792
22010,Insert,651
22010,Find,291
22010,Delete,634
22010,Memory,621264
22110,Insert,635
22110,Find,314
22110,Delete,654
22110,Memory,625008
22210,Insert,585
22210,Find,417
22210,Delete,812
22210,Memory,632216
22310,Insert,856
22310,Find,658
22310,Delete,947
22310,Memory,630320
22410,Insert,605
22410,Find,343
22410,Delete,896
22410,Memory,632752
22510,Insert,586
22510,Find,384
22510,Delete,653
22510,Memory,634768
22610,Insert,597
22610,Find,379
22610,Delete,653
22610,Memory,645104
22710,Insert,431
22710,Find,256
22710,Delete,647
22710,Memory,647280
22810,Insert,647
22810,Find,311
22810,Delete,654
22810,Memory,653896
22910,Insert,483
22910,Find,350
22910,Delete,720
22910,Memory,653264
23010,Insert,565
23010,Find,299
23010,Delete,726
23010,Memory,652688
23110,Insert,715
23110,Find,384
23110,Delete,687
23110,Memory,656240
23210,Insert,552
23210,Find,308
23210,Delete,695
23210,Memory,656848
23310,Insert,556
23310,Find,465
23310,Delete,652
23310,Memory,659728
23410,Insert,645
23410,Find,387
23410,Delete,736
23410,Memory,664008
23510,Insert,647
23510,Find,414
23510,Delete,734
23510,Memory,663248
23610,Insert,742
23610,Find,429
23610,Delete,947
23610,Memory,671120
23710,Insert,670
23710,Find,423
23710,Delete,886
23710,Memory,677104
23810,Insert,794
23810,Find,423
23810,Delete,819
23810,Memory,676816
23910,Insert,705
23910,Find,443
23910,Delete,751
23910,Memory,685544
24010,Insert,607
24010,Find,331
24010,Delete,614
24010,Memory,681168
24110,Insert,754
24110,Find,480
24110,Delete,752
24110,Memory,684464
24210,Insert,742
24210,Find,385
24210,Delete,595
24210,Memory,684752
24310,Insert,637
24310,Find,384
24310,Delete,557
24310,Memory,686416
24410,Insert,719
24410,Find,461
24410,Delete,766
24410,Memory,693128
24510,Insert,627
24510,Find,424
24510,Delete,775
24510,Memory,694160
24610,Insert,724
24610,Find,390
24610,Delete,826
24610,Memory,704144
24710,Insert,725
24710,Find,415
24710,Delete,827
24710,Memory,704944
24810,Insert,811
24810,Find,409
24810,Delete,811
24810,Memory,706928
24910,Insert,779
24910,Find,451
24910,Delete,784
24910,Memory,711624
25010,Insert,628
25010,Find,370
25010,Delete,886
25010,Memory,710160
25110,Insert,738
25110,Find,414
25110,Delete,816
25110,Memory,712688
25210,Insert,656
25210,Find,344
25210,Delete,730
25210,Memory,713328
25310,Insert,748
25310,Find,370
25310,Delete,909
25310,Memory,719152
25410,Insert,808
25410,Find,484
25410,Delete,811
25410,Memory,722264
25510,Insert,1116
25510,Find,425
25510,Delete,800
25510,Memory,721008
25610,Insert,957
25610,Find,629
25610,Delete,976
25610,Memory,731184
25710,Insert,1066
25710,Find,404
25710,Delete,848
25710,Memory,732656
25810,Insert,1111
25810,Find,412
25810,Delete,792
25810,Memory,733200
25910,Insert,549
25910,Find,459
25910,Delete,748
25910,Memory,741800
26010,Insert,750
26010,Find,429
26010,Delete,800
26010,Memory,739632
26110,Insert,680
26110,Find,379
26110,Delete,757
26110,Memory,741840
26210,Insert,683
26210,Find,387
26210,Delete,854
26210,Memory,740112
26310,Insert,657
26310,Find,411
26310,Delete,821
26310,Memory,743696
26410,Insert,662
26410,Find,463
26410,Delete,765
26410,Memory,750344
26510,Insert,636
26510,Find,373
26510,Delete,653
26510,Memory,748272
26610,Insert,625
26610,Find,363
26610,Delete,561
26610,Memory,750800
26710,Insert,747
26710,Find,438
26710,Delete,657
26710,Memory,760400
26810,Insert,558
26810,Find,352
26810,Delete,610
26810,Memory,764048
26910,Insert,773
26910,Find,490
26910,Delete,854
26910,Memory,768024
27010,Insert,734
